question_id,question_text
q1,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations."
q2,"I’d always support my country, whether it was right or wrong."
q3,"No one chooses their country of birth, so it’s foolish to be proud of it."
q4,"Our race has many superior qualities, compared with other races."
q5,The enemy of my enemy is my friend.
q6,Military action that defies international law is sometimes justified.
q7,There is now a worrying fusion of information and entertainment.
q8,People are ultimately divided more by class than by nationality.
q9,Controlling inflation is more important than controlling unemployment.
q10,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation."
q11,"“from each according to his ability, to each according to his need” is a fundamentally good idea."
q12,"The freer the market, the freer the people."
q13,"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product."
q14,Land shouldn’t be a commodity to be bought and sold.
q15,It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.
q16,Protectionism is sometimes necessary in trade.
q17,The only social responsibility of a company should be to deliver a profit to its shareholders.
q18,The rich are too highly taxed.
q19,Those with the ability to pay should have access to higher standards of medical care.
q20,Governments should penalise businesses that mislead the public.
q21,A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.
q22,"Abortion, when the woman’s life is not threatened, should always be illegal."
q23,All authority should be questioned.
q24,An eye for an eye and a tooth for a tooth.
q25,Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.
q26,Schools should not make classroom attendance compulsory.
q27,"All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind."
q28,Good parents sometimes have to spank their children.
q29,It’s natural for children to keep some secrets from their parents.
q30,Possessing marijuana for personal use should not be a criminal offence.
q31,The prime function of schooling should be to equip the future generation to find jobs.
q32,People with serious inheritable disabilities should not be allowed to reproduce.
q33,The most important thing for children to learn is to accept discipline.
q34,There are no savage and civilised peoples; there are only different cultures.
q35,"Those who are able to work, and refuse the opportunity, should not expect society’s support."
q36,"When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things."
q37,First-generation immigrants can never be fully integrated within their new country.
q38,"What’s good for the most successful corporations is always, ultimately, good for all of us."
q39,"No broadcasting institution, however independent its content, should receive public funding."
q40,Our civil liberties are being excessively curbed in the name of counter-terrorism.
q41,A significant advantage of a one-party state is that it avoids all the arguments that delay progress in a democratic political system.
q42,"Although the electronic age makes official surveillance easier, only wrongdoers need to be worried."
q43,The death penalty should be an option for the most serious crimes.
q44,"In a civilised society, one must always have people above to be obeyed and people below to be commanded."
q45,Abstract art that doesn’t represent anything shouldn’t be considered art at all.
q46,"In criminal justice, punishment should be more important than rehabilitation."
q47,It is a waste of time to try to rehabilitate some criminals.
q48,The businessperson and the manufacturer are more important than the writer and the artist.
q49,"Mothers may have careers, but their first duty is to be homemakers."
q50,"Almost all politicians promise economic growth, but we should heed the warnings of climate science that growth is detrimental to our efforts to curb global warming."
q51,Making peace with the establishment is an important aspect of maturity.
q52,Astrology accurately explains many things.
q53,You cannot be moral without being religious.
q54,Charity is better than social security as a means of helping the genuinely disadvantaged.
q55,Some people are naturally unlucky.
q56,It is important that my child’s school instills religious values.
q57,Sex outside marriage is usually immoral.
q58,"A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption."
q59,"Pornography, depicting consenting adults, should be legal for the adult population."
q60,What goes on in a private bedroom between consenting adults is no business of the state.
q61,No one can feel naturally homosexual.
q62,These days openness about sex has gone too far.
